Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,931,829,074) Ins:2736 Outs:451","248,598 BTC ($14,931,829,074)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,812,174,441) Ins:234 Outs:167","180,010 BTC ($10,812,174,441)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,575,717,834) Ins:357 Outs:237","142,776 BTC ($8,575,717,834)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,446,527,755) Ins:376 Outs:207","140,625 BTC ($8,446,527,755)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,684,692,110) Ins:108 Outs:0","94,643 BTC ($5,684,692,110)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,802,575,121) Ins:593 Outs:0","79,957 BTC ($4,802,575,121)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,704,055,797) Ins:14 Outs:0","78,317 BTC ($4,704,055,797)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,564,890,421) Ins:89 Outs:72","76,000 BTC ($4,564,890,421)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,526,088,290) Ins:87 Outs:60","75,354 BTC ($4,526,088,290)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,509,543,178) Ins:1302 Outs:414","75,079 BTC ($4,509,543,178)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,166,669,401) Ins:90 Outs:0","69,370 BTC ($4,166,669,401)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,096,383,790) Ins:100 Outs:54","68,200 BTC ($4,096,383,790)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,586,138,270) Ins:89 Outs:32","59,705 BTC ($3,586,138,270)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,236,266,921) Ins:184 Outs:0","53,880 BTC ($3,236,266,921)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,113,155,336) Ins:130 Outs:0","51,830 BTC ($3,113,155,336)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,767,996,817) Ins:931 Outs:887","46,084 BTC ($2,767,996,817)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,713,546,986) Ins:3 Outs:0","45,177 BTC ($2,713,546,986)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,642,833,239) Ins:60 Outs:0","44,000 BTC ($2,642,833,239)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,502,451,841) Ins:450 Outs:215","41,663 BTC ($2,502,451,841)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,278,062,378) Ins:36 Outs:0","37,927 BTC ($2,278,062,378)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,162,339,248) Ins:45 Outs:0","36,000 BTC ($2,162,339,248)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,118,903,155) Ins:77 Outs:3","35,277 BTC ($2,118,903,155)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,944,359,884) Ins:6 Outs:0","32,371 BTC ($1,944,359,884)"
