Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,954,885,616) Ins:2736 Outs:451","248,598 BTC ($14,954,885,616)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,828,869,740) Ins:234 Outs:167","180,010 BTC ($10,828,869,740)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,588,959,775) Ins:357 Outs:237","142,776 BTC ($8,588,959,775)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,459,570,211) Ins:376 Outs:207","140,625 BTC ($8,459,570,211)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,693,469,959) Ins:108 Outs:0","94,643 BTC ($5,693,469,959)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,809,990,875) Ins:593 Outs:0","79,957 BTC ($4,809,990,875)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,711,319,426) Ins:14 Outs:0","78,317 BTC ($4,711,319,426)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,571,939,161) Ins:89 Outs:72","76,000 BTC ($4,571,939,161)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,533,077,116) Ins:87 Outs:60","75,354 BTC ($4,533,077,116)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,516,506,456) Ins:1302 Outs:414","75,079 BTC ($4,516,506,456)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,173,103,240) Ins:90 Outs:0","69,370 BTC ($4,173,103,240)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,102,709,100) Ins:100 Outs:54","68,200 BTC ($4,102,709,100)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,591,675,700) Ins:89 Outs:32","59,705 BTC ($3,591,675,700)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,241,264,107) Ins:184 Outs:0","53,880 BTC ($3,241,264,107)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,117,962,423) Ins:130 Outs:0","51,830 BTC ($3,117,962,423)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,772,270,938) Ins:931 Outs:887","46,084 BTC ($2,772,270,938)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,717,737,029) Ins:3 Outs:0","45,177 BTC ($2,717,737,029)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,646,914,092) Ins:60 Outs:0","44,000 BTC ($2,646,914,092)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,506,315,928) Ins:450 Outs:215","41,663 BTC ($2,506,315,928)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,281,579,981) Ins:36 Outs:0","37,927 BTC ($2,281,579,981)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,165,678,160) Ins:45 Outs:0","36,000 BTC ($2,165,678,160)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,122,174,996) Ins:77 Outs:3","35,277 BTC ($2,122,174,996)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,947,362,210) Ins:6 Outs:0","32,371 BTC ($1,947,362,210)"
